Company,Ticker,YearMonth,Close_Mean,Close_Norm_Mean,Volume_Mean
BYD,BYDDY,2018-01,2.942014989398775,103.39944468056423,437142.85714285716
BYD,BYDDY,2018-02,2.9025316112919857,102.01177011566033,495094.7368421053
BYD,BYDDY,2018-03,2.929448502404349,102.95778555187479,350285.71428571426
BYD,BYDDY,2018-04,2.456185397647676,86.32457926435687,341428.5714285714
BYD,BYDDY,2018-05,2.141855835914612,75.2772181030441,389618.1818181818
BYD,BYDDY,2018-06,2.0609754721323648,72.43461372108771,328400.0
BYD,BYDDY,2018-07,1.8766615731375558,65.95675590199228,560971.4285714285
BYD,BYDDY,2018-08,1.8506157657374507,65.0413553920927,473739.1304347826
BYD,BYDDY,2018-09,2.026217121826975,71.21300399695633,431147.36842105264
BYD,BYDDY,2018-10,2.085606818613799,73.30030188280416,341165.2173913043
BYD,BYDDY,2018-11,2.233480442137945,78.4974373870064,346085.71428571426
BYD,BYDDY,2018-12,2.1859793161091052,76.82797272731503,360821.05263157893
BYD,BYDDY,2019-01,1.9003577062061854,66.78957524832529,329171.4285714286
BYD,BYDDY,2019-02,2.0168392219041524,70.88341028387742,291821.05263157893
BYD,BYDDY,2019-03,1.9926964782533192,70.03489445525089,268257.14285714284
BYD,BYDDY,2019-04,2.1510786556062245,75.60136139868945,243114.2857142857
BYD,BYDDY,2019-05,1.982015696438876,69.65950992718179,253036.36363636365
BYD,BYDDY,2019-06,1.9139747977256776,67.26815870434217,182520.0
BYD,BYDDY,2019-07,1.9931216890161687,70.04983882396053,618518.1818181818
BYD,BYDDY,2019-08,1.7373826070265337,61.06168643312262,764809.0909090909
BYD,BYDDY,2019-09,1.6753760874271393,58.882418238958145,363840.0
BYD,BYDDY,2019-10,1.5730573560880579,55.28634546604445,518765.2173913043
BYD,BYDDY,2019-11,1.5645609319210052,54.9877319158724,486690.0
BYD,BYDDY,2019-12,1.5414445457004367,54.1752882312409,457800.0
BYD,BYDDY,2020-01,1.7645038650149392,62.01488450490148,489514.28571428574
BYD,BYDDY,2020-02,1.9469301449625116,68.42640045899759,971368.4210526316
BYD,BYDDY,2020-03,1.7009427439082752,59.78097861068093,981845.4545454546
BYD,BYDDY,2020-04,1.751676462945484,61.564055309450296,683285.7142857143
