Country,Country_Code,Year,Electric cars sold,Electric cars,Non-electric cars,Plug-in hybrid,Battery-electric,Electric car stocks,Total_Cars_Sold,EV_Market_Share_Pct
United Kingdom,GBR,2023,450000,450000,1425000,7.4666667,16.533333,1580000.0,1875000,24.0
United Kingdom,GBR,2024,550000,550000,1414286,8.654546,19.345455,2170000.0,1964286,28.0
United States,USA,2011,17800,17800,11848867,0.06741573,0.08258427,22000.0,11866667,0.15
United States,USA,2012,54000,54000,12803143,0.30333334,0.11666667,75000.0,12857143,0.42
United States,USA,2013,97000,97000,13564972,0.3586598,0.3513402,172000.0,13661972,0.71
United States,USA,2014,118000,118000,15206675,0.3588983,0.4111017,290000.0,15324675,0.77
United States,USA,2015,114000,114000,16171714,0.26403508,0.4359649,400000.0,16285714,0.7
United States,USA,2016,160000,160000,16001616,0.4516875,0.5383125,570000.0,16161616,0.99
United States,USA,2017,194000,194000,14729077,0.62989694,0.6701031,760000.0,14923077,1.3
United States,USA,2018,360000,360000,15292174,0.76666665,1.5333333,1120000.0,15652174,2.3
United States,USA,2019,325000,325000,15151191,0.54923075,1.5507692,1450000.0,15476191,2.1
United States,USA,2020,294000,294000,12488609,0.50068027,1.7993197,1740000.0,12782609,2.3
United States,USA,2021,630000,630000,12774255,1.1936508,3.5063493,2220000.0,13404255,4.7
United States,USA,2022,990000,990000,12388378,1.420202,5.979798,3010000.0,13378378,7.4
United States,USA,2023,1390000,1390000,13241579,1.9820144,7.517986,4800000.0,14631579,9.5
United States,USA,2024,1520000,1520000,13680000,2.1052632,7.894737,6300000.0,15200000,10.0
